url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,329,146
/profeshnul-duvlupur/email-tsunami/stargazers,79,10
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,46,18
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,15,7
/profeshnul-duvlupur/email-tsunami/issues,13,9
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report,11,2
/profeshnul-duvlupur/email-tsunami/tree/master,10,5
/profeshnul-duvlupur/email-tsunami/tree/master/.github,10,3
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami,9,2
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,8,3
