time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-22 00:00:00+00:00,4,4,14,6
2023-11-23 00:00:00+00:00,3,3,15,11
2023-11-24 00:00:00+00:00,3,3,21,6
2023-11-25 00:00:00+00:00,5,4,33,11
2023-11-26 00:00:00+00:00,4,4,161,15
2023-11-27 00:00:00+00:00,2,2,26,7
2023-11-28 00:00:00+00:00,2,2,47,11
2023-11-29 00:00:00+00:00,3,3,49,16
2023-11-30 00:00:00+00:00,1,1,56,18
2023-12-01 00:00:00+00:00,3,3,28,13
2023-12-02 00:00:00+00:00,4,4,26,11
2023-12-03 00:00:00+00:00,3,3,44,22
2023-12-04 00:00:00+00:00,5,5,26,15
2023-12-05 00:00:00+00:00,2,2,28,8
