url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,338,119
/profeshnul-duvlupur/email-tsunami/stargazers,80,11
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,31,13
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report,17,3
/profeshnul-duvlupur/email-tsunami/issues,13,10
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,13,6
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats,13,5
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami,12,3
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,8,4
/profeshnul-duvlupur/email-tsunami/blob/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report/report.pdf,8,3
