time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-28 00:00:00+00:00,2,2,47,11
2023-11-29 00:00:00+00:00,3,3,49,16
2023-11-30 00:00:00+00:00,1,1,56,18
2023-12-01 00:00:00+00:00,3,3,28,13
2023-12-02 00:00:00+00:00,4,4,26,11
2023-12-03 00:00:00+00:00,3,3,44,22
2023-12-04 00:00:00+00:00,5,5,26,15
2023-12-05 00:00:00+00:00,4,4,29,9
2023-12-06 00:00:00+00:00,4,4,32,11
2023-12-07 00:00:00+00:00,6,5,11,7
2023-12-08 00:00:00+00:00,1,1,61,17
2023-12-09 00:00:00+00:00,5,5,24,12
2023-12-10 00:00:00+00:00,2,2,32,9
2023-12-11 00:00:00+00:00,1,1,28,12
