time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-25 00:00:00+00:00,5.0,4.0,33,11
2023-11-26 00:00:00+00:00,4.0,4.0,161,15
2023-11-27 00:00:00+00:00,2.0,2.0,26,7
2023-11-28 00:00:00+00:00,2.0,2.0,47,11
2023-11-29 00:00:00+00:00,3.0,3.0,49,16
2023-11-30 00:00:00+00:00,1.0,1.0,56,18
2023-12-01 00:00:00+00:00,3.0,3.0,28,13
2023-12-02 00:00:00+00:00,4.0,4.0,26,11
2023-12-03 00:00:00+00:00,3.0,3.0,44,22
2023-12-04 00:00:00+00:00,5.0,5.0,26,15
2023-12-05 00:00:00+00:00,4.0,4.0,29,9
2023-12-06 00:00:00+00:00,4.0,4.0,32,11
2023-12-07 00:00:00+00:00,6.0,5.0,11,7
2023-12-08 00:00:00+00:00,,,61,17
